customer_id,tier,relationship_start,preferred_channel,is_active,age,region
36,Silver,2022-06-10,WhatsApp,True,24,Penang
37,Bronze,2023-03-07,Email,False,41,Others
38,Silver,2022-12-31,WhatsApp,False,21,KL/Selangor
39,Bronze,2023-03-05,Email,True,64,Johor
40,Silver,2023-03-06,WhatsApp,False,37,KL/Selangor
41,Bronze,2022-11-16,WhatsApp,True,33,KL/Selangor
42,Bronze,2024-04-23,App Push,True,42,Others
43,Gold,2022-05-20,Email,True,42,KL/Selangor
44,Bronze,2022-04-10,WhatsApp,True,24,KL/Selangor
45,Silver,2022-11-25,Email,False,66,Others
46,Bronze,2023-05-27,Email,True,49,Johor
47,Silver,2023-07-09,WhatsApp,True,46,Penang
48,Bronze,2023-06-09,Email,True,69,Others
49,Gold,2022-05-18,Email,True,37,Sabah/Sarawak
50,Gold,2024-01-18,Email,True,26,KL/Selangor
51,Silver,2023-01-19,Email,False,25,KL/Selangor
52,Bronze,2023-08-15,WhatsApp,True,25,Johor
53,Silver,2022-12-22,App Push,True,37,Johor
54,Bronze,2023-09-15,Email,True,69,Penang
55,Silver,2023-02-11,WhatsApp,True,47,Others
56,Bronze,2024-08-30,WhatsApp,False,21,KL/Selangor
57,Silver,2022-11-26,WhatsApp,True,26,KL/Selangor
58,Gold,2024-05-01,Email,False,22,Johor
59,Bronze,2022-04-28,App Push,True,48,KL/Selangor
60,Bronze,2024-03-18,App Push,True,58,Johor
61,Gold,2024-09-07,Email,True,49,Others
62,Silver,2022-08-19,App Push,True,53,KL/Selangor
63,Bronze,2022-02-19,App Push,True,60,KL/Selangor
64,Bronze,2023-04-23,Email,False,59,KL/Selangor
65,Bronze,2024-07-17,Email,True,39,Johor
66,Silver,2024-06-26,Email,True,36,Penang
67,Silver,2022-08-04,App Push,False,56,Johor
68,Bronze,2024-07-18,Email,False,37,KL/Selangor
69,Silver,2024-04-25,WhatsApp,True,22,KL/Selangor
70,Bronze,2023-07-21,WhatsApp,True,26,Others
71,Bronze,2024-05-26,WhatsApp,True,26,KL/Selangor
72,Gold,2023-04-13,Email,False,23,Penang
73,Bronze,2022-02-14,WhatsApp,True,59,Others
74,Silver,2022-05-21,WhatsApp,True,46,Penang
75,Bronze,2022-02-01,App Push,True,30,KL/Selangor
76,Gold,2023-12-25,WhatsApp,True,32,Others
77,Bronze,2022-01-22,Email,False,58,Penang
78,Silver,2022-03-21,App Push,True,56,Others
79,Bronze,2022-06-12,WhatsApp,True,49,Sabah/Sarawak
80,Gold,2022-12-06,App Push,True,48,Johor
81,Silver,2023-09-01,Email,False,56,KL/Selangor
82,Bronze,2024-08-25,Email,True,41,Others
83,Bronze,2024-02-10,WhatsApp,True,24,Penang
84,Silver,2022-01-04,App Push,True,24,Penang
85,Silver,2023-04-17,WhatsApp,False,67,Penang
86,Silver,2023-12-25,WhatsApp,True,34,Others
87,Silver,2023-08-18,App Push,True,61,Johor
88,Gold,2023-07-26,App Push,False,59,Johor
89,Bronze,2023-09-22,WhatsApp,True,49,KL/Selangor
90,Bronze,2023-05-28,Email,False,38,Others
91,Silver,2023-02-19,Email,True,26,Sabah/Sarawak
92,Silver,2024-08-19,Email,True,54,Others
93,Silver,2024-07-25,App Push,True,54,Penang
94,Bronze,2022-04-09,WhatsApp,True,44,Others
95,Gold,2022-09-29,Email,True,24,KL/Selangor
96,Silver,2023-10-08,Email,True,37,KL/Selangor
97,Bronze,2023-12-03,Email,True,52,Johor
98,Silver,2024-02-01,Email,True,27,Sabah/Sarawak
99,Bronze,2023-10-14,App Push,True,66,KL/Selangor
100,Bronze,2022-07-03,App Push,True,63,KL/Selangor
101,Bronze,2022-11-06,Email,True,35,Penang
102,Silver,2024-09-06,Email,True,29,Johor
103,Silver,2023-05-21,Email,True,47,Others
104,Silver,2024-08-08,Email,True,59,KL/Selangor
105,Bronze,2022-04-18,App Push,True,41,Others
106,Silver,2022-12-24,WhatsApp,True,31,KL/Selangor
107,Gold,2023-12-29,Email,True,54,KL/Selangor
108,Bronze,2023-08-01,WhatsApp,True,59,Others
109,Gold,2023-05-04,Email,True,24,Johor
110,Bronze,2024-08-15,Email,True,48,Johor
111,Silver,2023-04-10,WhatsApp,True,22,KL/Selangor
112,Bronze,2023-10-23,Email,True,52,KL/Selangor
113,Bronze,2024-09-24,Email,False,37,Others
114,Gold,2023-01-14,Email,False,57,Others
115,Gold,2022-10-12,Email,True,59,Penang
116,Bronze,2024-08-17,Email,False,31,KL/Selangor
117,Bronze,2024-08-06,WhatsApp,True,64,Penang
118,Silver,2022-08-17,App Push,False,41,Penang
119,Bronze,2024-04-11,WhatsApp,False,44,KL/Selangor
120,Bronze,2024-02-28,Email,False,28,Johor
121,Bronze,2022-08-29,Email,False,34,Johor
122,Silver,2024-08-19,Email,True,52,Others
123,Silver,2024-04-18,WhatsApp,True,26,KL/Selangor
124,Bronze,2022-09-17,Email,False,49,Johor
125,Bronze,2024-03-18,Email,True,52,Johor
126,Bronze,2023-01-14,Email,True,45,Johor
127,Silver,2024-09-02,Email,True,28,Johor
128,Silver,2024-08-02,Email,True,36,Sabah/Sarawak
129,Silver,2024-07-30,App Push,True,63,KL/Selangor
130,Gold,2022-06-10,Email,True,58,Others
131,Bronze,2022-03-23,Email,True,26,Johor
132,Bronze,2022-05-23,Email,False,65,KL/Selangor
133,Silver,2022-07-30,App Push,True,68,Johor
134,Silver,2022-06-05,App Push,True,21,KL/Selangor
135,Bronze,2023-02-03,App Push,False,58,Others
136,Bronze,2023-06-30,WhatsApp,False,33,Others
137,Bronze,2022-04-15,WhatsApp,True,65,KL/Selangor
138,Silver,2023-03-12,WhatsApp,True,42,KL/Selangor
139,Bronze,2022-05-19,Email,True,46,Sabah/Sarawak
140,Gold,2022-08-05,App Push,False,39,Johor
141,Silver,2022-01-17,WhatsApp,True,35,Penang
142,Silver,2023-10-22,WhatsApp,True,23,Others
143,Bronze,2023-03-31,App Push,True,57,Others
144,Bronze,2023-06-09,Email,False,34,KL/Selangor
145,Bronze,2024-09-19,Email,False,69,Others
146,Bronze,2023-02-09,Email,False,51,KL/Selangor
147,Bronze,2024-04-03,Email,True,30,KL/Selangor
148,Silver,2024-05-07,Email,True,25,Johor
149,Bronze,2022-11-24,Email,True,34,Johor
150,Silver,2022-07-17,App Push,False,28,Others
151,Gold,2022-12-05,App Push,True,36,KL/Selangor
152,Bronze,2022-11-07,WhatsApp,True,24,KL/Selangor
153,Silver,2024-08-15,WhatsApp,True,41,KL/Selangor
154,Silver,2022-11-30,Email,True,50,Others
155,Bronze,2024-01-10,WhatsApp,True,27,KL/Selangor
156,Gold,2022-12-07,WhatsApp,True,32,Penang
157,Bronze,2022-09-20,App Push,True,54,Penang
158,Silver,2024-01-06,WhatsApp,False,65,Others
159,Silver,2024-06-13,App Push,True,52,Johor
160,Bronze,2024-08-23,Email,True,43,Others
161,Gold,2023-12-19,WhatsApp,True,26,KL/Selangor
162,Silver,2023-02-28,App Push,True,21,KL/Selangor
163,Silver,2022-03-27,WhatsApp,True,67,KL/Selangor
164,Silver,2022-11-20,App Push,True,55,KL/Selangor
165,Silver,2022-03-09,Email,False,55,KL/Selangor
166,Bronze,2024-03-15,App Push,False,45,Sabah/Sarawak
167,Bronze,2023-12-14,Email,True,54,Penang
168,Bronze,2022-11-05,Email,False,67,KL/Selangor
169,Silver,2022-04-20,App Push,True,57,KL/Selangor
170,Silver,2024-02-10,Email,True,46,KL/Selangor
171,Silver,2023-12-24,App Push,True,37,KL/Selangor
172,Silver,2022-05-21,Email,False,65,KL/Selangor
173,Silver,2022-05-01,App Push,True,57,Others
174,Bronze,2022-06-12,Email,True,37,Johor
175,Silver,2022-01-29,Email,True,54,Penang
176,Gold,2024-07-30,Email,False,32,Others
177,Bronze,2022-12-24,WhatsApp,True,22,KL/Selangor
178,Bronze,2024-02-09,Email,True,68,Johor
179,Silver,2023-08-18,Email,True,50,Others
180,Silver,2023-06-19,Email,False,47,Penang
181,Silver,2022-09-07,Email,False,60,Sabah/Sarawak
182,Gold,2022-04-18,WhatsApp,False,59,Sabah/Sarawak
183,Bronze,2024-06-21,WhatsApp,True,67,Johor
184,Silver,2024-04-27,App Push,False,48,KL/Selangor
185,Gold,2022-09-07,App Push,True,63,KL/Selangor
186,Bronze,2022-10-02,App Push,False,58,KL/Selangor
187,Bronze,2023-11-08,Email,True,42,Johor
188,Bronze,2022-12-03,Email,True,25,Johor
189,Bronze,2022-01-12,Email,True,66,Penang
190,Silver,2022-03-15,Email,True,46,Others
191,Bronze,2022-02-25,WhatsApp,True,67,Johor
192,Silver,2023-01-17,Email,True,55,KL/Selangor
193,Silver,2022-07-01,Email,False,31,Others
194,Silver,2022-10-28,Email,True,47,Penang
195,Silver,2022-06-13,App Push,True,65,Others
196,Silver,2023-04-02,App Push,False,23,KL/Selangor
197,Bronze,2022-06-22,WhatsApp,True,52,KL/Selangor
198,Silver,2023-02-13,WhatsApp,True,51,Penang
199,Bronze,2024-08-30,Email,False,49,Sabah/Sarawak
200,Silver,2022-02-15,App Push,True,66,KL/Selangor
201,Silver,2023-07-15,Email,False,37,Penang
202,Silver,2022-11-26,Email,True,58,KL/Selangor
203,Bronze,2022-03-24,WhatsApp,False,30,Johor
204,Silver,2022-04-01,WhatsApp,True,24,Johor
205,Silver,2023-04-12,WhatsApp,True,36,Johor
206,Bronze,2024-08-20,Email,True,23,KL/Selangor
207,Bronze,2023-10-28,App Push,True,60,Penang
208,Bronze,2024-07-04,Email,False,61,KL/Selangor
209,Bronze,2022-04-06,Email,True,56,KL/Selangor
210,Bronze,2024-07-13,Email,True,33,KL/Selangor
211,Bronze,2024-03-14,Email,False,62,Penang
212,Bronze,2024-04-12,WhatsApp,True,32,Johor
213,Bronze,2023-06-16,Email,True,55,KL/Selangor
214,Silver,2024-01-03,Email,True,67,Penang
215,Silver,2022-03-15,WhatsApp,False,39,Others
216,Silver,2024-09-19,WhatsApp,True,57,KL/Selangor
217,Bronze,2022-02-27,Email,True,48,Penang
218,Silver,2023-05-06,Email,True,44,KL/Selangor
219,Bronze,2024-02-19,Email,False,33,Penang
220,Bronze,2024-02-06,Email,True,22,Others
221,Bronze,2022-03-27,Email,True,42,Sabah/Sarawak
222,Silver,2023-12-20,WhatsApp,True,46,KL/Selangor
223,Silver,2024-05-13,WhatsApp,True,39,Johor
224,Bronze,2023-01-01,Email,False,37,Johor
225,Bronze,2023-03-23,WhatsApp,True,31,Others
226,Silver,2023-12-19,WhatsApp,False,36,Johor
227,Bronze,2022-04-05,Email,True,69,Others
228,Silver,2024-03-04,WhatsApp,False,58,Others
229,Bronze,2024-07-18,Email,True,37,Others
230,Gold,2023-11-02,App Push,False,53,KL/Selangor
231,Silver,2022-03-15,Email,True,54,Others
232,Silver,2022-03-13,Email,True,35,Johor
233,Silver,2023-04-08,Email,True,43,Johor
234,Gold,2022-10-07,Email,True,40,Johor
235,Gold,2023-05-08,App Push,False,48,Johor
236,Bronze,2022-12-29,Email,True,43,Johor
237,Bronze,2023-05-16,App Push,True,67,Johor
238,Silver,2022-09-14,WhatsApp,True,59,Johor
239,Bronze,2024-07-11,WhatsApp,True,46,KL/Selangor
240,Silver,2022-10-20,Email,True,29,Penang
241,Bronze,2022-11-19,WhatsApp,True,33,KL/Selangor
242,Gold,2023-02-07,App Push,False,34,KL/Selangor
243,Silver,2023-08-28,Email,True,60,Penang
244,Silver,2024-01-22,WhatsApp,False,59,Johor
245,Bronze,2023-03-18,Email,True,39,Others
246,Silver,2023-08-09,App Push,True,53,Penang
247,Bronze,2022-03-08,WhatsApp,True,23,KL/Selangor
248,Silver,2022-01-21,Email,False,43,KL/Selangor
249,Gold,2023-04-10,Email,False,24,Sabah/Sarawak
250,Bronze,2022-03-15,WhatsApp,True,27,Johor
251,Silver,2024-05-23,Email,True,58,Sabah/Sarawak
252,Silver,2023-09-03,Email,True,47,KL/Selangor
253,Bronze,2024-04-02,Email,False,54,Johor
254,Bronze,2024-01-10,Email,True,48,Johor
255,Bronze,2022-04-09,Email,True,47,Johor
256,Silver,2022-05-01,App Push,False,53,Johor
257,Silver,2024-01-02,WhatsApp,True,41,Penang
258,Gold,2023-11-05,WhatsApp,True,27,Penang
259,Silver,2023-01-31,Email,True,23,Penang
260,Gold,2024-07-31,Email,True,34,Johor
261,Silver,2022-08-29,WhatsApp,False,53,Sabah/Sarawak
262,Bronze,2022-12-14,Email,True,51,Penang
263,Silver,2023-01-10,Email,True,66,Johor
264,Silver,2024-02-08,WhatsApp,False,66,Johor
265,Bronze,2024-09-14,Email,True,50,Penang
266,Gold,2022-10-09,App Push,True,61,KL/Selangor
267,Silver,2023-01-06,Email,True,30,Johor
268,Silver,2024-01-21,WhatsApp,False,29,Others
269,Silver,2024-03-20,WhatsApp,True,59,KL/Selangor
270,Bronze,2023-04-10,Email,False,46,Sabah/Sarawak
271,Gold,2024-05-11,Email,True,40,KL/Selangor
272,Silver,2023-09-18,Email,True,26,KL/Selangor
273,Bronze,2023-01-14,WhatsApp,True,59,Johor
274,Bronze,2022-03-20,Email,True,35,KL/Selangor
275,Silver,2024-06-30,Email,True,48,KL/Selangor
276,Bronze,2023-03-27,Email,True,59,Sabah/Sarawak
277,Silver,2022-10-28,Email,True,54,Sabah/Sarawak
278,Bronze,2022-07-01,Email,True,37,Sabah/Sarawak
279,Silver,2022-02-13,WhatsApp,True,49,Others
280,Bronze,2023-01-15,WhatsApp,False,32,KL/Selangor
281,Bronze,2023-06-17,Email,True,40,Others
282,Silver,2022-09-19,Email,False,47,KL/Selangor
283,Bronze,2024-05-20,WhatsApp,True,53,Others
284,Silver,2023-10-11,Email,True,64,Johor
285,Silver,2023-08-26,Email,True,52,KL/Selangor
286,Gold,2024-01-10,Email,True,66,Penang
287,Bronze,2022-05-03,Email,True,50,Others
288,Bronze,2022-05-06,WhatsApp,False,52,Johor
289,Bronze,2022-07-27,WhatsApp,True,29,Johor
290,Gold,2024-03-27,WhatsApp,True,46,Penang
291,Bronze,2024-08-20,Email,True,47,Others
292,Silver,2022-11-24,App Push,True,24,KL/Selangor
293,Bronze,2023-08-12,WhatsApp,True,36,KL/Selangor
294,Gold,2024-07-08,App Push,True,26,KL/Selangor
295,Bronze,2022-12-23,WhatsApp,True,37,KL/Selangor
296,Silver,2022-06-11,App Push,True,45,Others
297,Bronze,2023-08-07,WhatsApp,True,56,KL/Selangor
298,Gold,2023-12-20,App Push,True,53,Johor
299,Silver,2024-04-19,Email,True,35,KL/Selangor
300,Bronze,2024-08-21,WhatsApp,True,26,Penang
301,Silver,2023-06-04,Email,True,49,Johor
302,Gold,2024-03-02,Email,True,45,KL/Selangor
303,Silver,2023-06-10,WhatsApp,True,62,Johor
304,Gold,2023-02-14,App Push,True,45,Others
305,Silver,2023-09-16,Email,True,31,KL/Selangor
306,Bronze,2022-05-09,App Push,True,37,Penang
307,Silver,2022-07-23,App Push,True,27,Johor
308,Silver,2023-07-31,WhatsApp,False,52,Johor
309,Silver,2023-07-01,Email,True,38,Johor
310,Silver,2022-08-26,WhatsApp,True,63,Others
311,Bronze,2023-07-27,Email,True,61,Johor
312,Gold,2022-08-15,WhatsApp,True,63,Johor
313,Bronze,2023-08-06,App Push,True,52,Johor
314,Bronze,2022-04-29,App Push,True,27,KL/Selangor
315,Bronze,2023-03-11,Email,True,68,Johor
316,Bronze,2022-03-02,Email,True,24,KL/Selangor
317,Silver,2022-01-05,Email,False,22,Johor
318,Silver,2023-12-14,WhatsApp,True,41,Johor
319,Bronze,2022-03-22,WhatsApp,True,33,Others
320,Gold,2024-08-17,App Push,False,47,Johor
321,Silver,2022-08-29,WhatsApp,True,56,KL/Selangor
322,Bronze,2023-11-09,App Push,False,64,KL/Selangor
323,Bronze,2022-10-04,WhatsApp,True,25,Others
324,Bronze,2024-07-02,Email,False,34,KL/Selangor
325,Silver,2023-01-27,WhatsApp,True,31,Penang
326,Silver,2023-10-16,Email,False,56,Penang
327,Silver,2024-04-13,App Push,True,62,KL/Selangor
328,Silver,2022-06-01,App Push,False,22,Johor
329,Silver,2024-04-12,Email,True,65,Johor
330,Silver,2023-04-13,Email,False,40,Others
331,Silver,2024-03-31,Email,False,37,Johor
332,Silver,2023-05-13,WhatsApp,True,26,Penang
333,Bronze,2023-09-17,Email,True,33,Others
334,Silver,2024-09-11,WhatsApp,True,46,KL/Selangor
335,Silver,2022-05-01,WhatsApp,True,52,Johor
336,Bronze,2023-12-31,Email,True,67,Sabah/Sarawak
337,Silver,2023-05-01,WhatsApp,True,38,Johor
338,Silver,2023-10-03,App Push,True,65,Others
339,Silver,2024-03-13,Email,True,50,Others
340,Silver,2023-05-10,WhatsApp,False,69,KL/Selangor
341,Bronze,2023-09-17,Email,True,62,Johor
342,Silver,2024-01-06,Email,True,46,Others
343,Silver,2023-05-19,Email,True,47,KL/Selangor
344,Silver,2024-05-06,App Push,True,54,KL/Selangor
345,Silver,2022-03-31,Email,True,41,KL/Selangor
346,Bronze,2023-03-12,WhatsApp,True,39,KL/Selangor
347,Gold,2024-08-17,Email,True,54,KL/Selangor
348,Bronze,2023-08-16,App Push,True,34,KL/Selangor
349,Bronze,2022-01-06,Email,True,59,Penang
350,Silver,2023-03-29,WhatsApp,True,61,Others
351,Bronze,2022-01-01,Email,True,24,Johor
352,Bronze,2022-12-24,Email,True,25,Penang
353,Bronze,2022-10-02,Email,True,61,Others
354,Gold,2024-02-17,WhatsApp,True,25,Johor
355,Silver,2023-04-17,Email,True,53,Others
356,Bronze,2024-05-21,App Push,True,69,Johor
357,Bronze,2024-06-12,Email,True,28,Penang
358,Silver,2023-06-25,App Push,False,56,Sabah/Sarawak
359,Silver,2023-10-13,WhatsApp,True,24,Johor
360,Bronze,2023-12-28,Email,False,50,Penang
361,Bronze,2023-06-16,App Push,True,62,KL/Selangor
362,Silver,2022-01-28,App Push,True,61,Others
363,Bronze,2022-03-27,WhatsApp,True,34,Johor
364,Bronze,2022-06-01,App Push,False,47,Others
365,Bronze,2022-12-13,App Push,True,65,KL/Selangor
366,Bronze,2024-03-06,WhatsApp,True,38,Others
367,Silver,2022-10-16,Email,True,61,Sabah/Sarawak
368,Bronze,2024-03-19,WhatsApp,True,27,Others
369,Bronze,2024-04-16,Email,True,55,Johor
370,Bronze,2024-02-27,Email,True,37,Penang
371,Silver,2024-09-02,WhatsApp,True,40,Penang
372,Silver,2022-09-29,WhatsApp,True,25,Others
373,Bronze,2024-05-31,WhatsApp,True,50,KL/Selangor
374,Silver,2023-09-16,WhatsApp,True,35,Sabah/Sarawak
375,Bronze,2022-01-24,WhatsApp,False,55,Johor
376,Gold,2023-04-19,Email,False,48,KL/Selangor
377,Bronze,2022-01-30,Email,False,69,Others
378,Bronze,2022-04-19,Email,False,23,Johor
379,Silver,2022-05-19,WhatsApp,True,27,KL/Selangor
380,Silver,2023-05-20,Email,True,40,Others
381,Bronze,2022-12-21,WhatsApp,False,46,Penang
382,Silver,2023-10-13,Email,True,53,Others
383,Silver,2022-11-17,App Push,False,59,Sabah/Sarawak
384,Bronze,2022-09-29,Email,False,21,Others
385,Silver,2023-12-10,WhatsApp,True,21,Others
386,Silver,2024-08-21,Email,True,68,Sabah/Sarawak
387,Bronze,2022-04-16,WhatsApp,False,53,KL/Selangor
388,Silver,2023-05-18,App Push,False,57,KL/Selangor
389,Silver,2023-09-12,App Push,False,60,KL/Selangor
390,Silver,2022-01-03,App Push,True,57,Penang
391,Bronze,2022-05-15,WhatsApp,True,54,KL/Selangor
392,Silver,2023-03-14,WhatsApp,True,68,Johor
393,Silver,2022-06-21,Email,True,23,KL/Selangor
394,Gold,2024-05-30,Email,True,28,Penang
395,Bronze,2022-02-03,App Push,True,59,Penang
396,Bronze,2024-03-06,WhatsApp,True,23,Johor
397,Silver,2024-07-21,Email,False,68,KL/Selangor
398,Gold,2023-11-03,Email,True,36,Penang
399,Bronze,2024-04-22,WhatsApp,True,45,Johor
400,Silver,2024-09-24,Email,True,48,KL/Selangor
401,Silver,2023-10-20,WhatsApp,True,61,Johor
402,Gold,2024-05-10,WhatsApp,True,69,Johor
403,Bronze,2022-08-14,Email,True,45,Johor
404,Silver,2022-09-13,Email,True,28,Johor
405,Silver,2024-04-14,Email,True,35,Penang
406,Silver,2024-07-16,WhatsApp,True,50,KL/Selangor
407,Bronze,2023-02-23,Email,True,49,KL/Selangor
408,Bronze,2023-08-24,WhatsApp,True,22,KL/Selangor
409,Silver,2023-08-28,Email,False,66,KL/Selangor
410,Bronze,2022-01-18,WhatsApp,False,43,Others
411,Silver,2022-02-07,App Push,False,35,KL/Selangor
412,Bronze,2023-07-12,Email,True,39,Penang
413,Bronze,2024-04-06,Email,False,69,KL/Selangor
414,Silver,2022-06-06,App Push,True,54,KL/Selangor
415,Silver,2023-12-06,App Push,True,32,KL/Selangor
416,Gold,2024-06-26,WhatsApp,True,26,Johor
417,Bronze,2023-01-29,Email,True,22,KL/Selangor
418,Gold,2023-09-19,Email,True,65,KL/Selangor
419,Silver,2022-08-19,WhatsApp,False,60,KL/Selangor
420,Bronze,2022-06-20,Email,True,32,Sabah/Sarawak
421,Bronze,2023-07-27,Email,True,38,Others
422,Silver,2022-02-23,Email,True,43,Others
423,Silver,2023-02-12,Email,True,59,Sabah/Sarawak
424,Bronze,2023-12-27,Email,True,48,Others
425,Bronze,2022-11-30,Email,True,34,Penang
426,Gold,2022-06-27,App Push,True,52,Sabah/Sarawak
427,Gold,2022-01-02,Email,True,32,Others
428,Bronze,2023-03-13,App Push,True,34,Johor
429,Silver,2023-04-28,Email,True,35,KL/Selangor
430,Silver,2023-07-28,App Push,True,58,Others
431,Bronze,2022-08-17,WhatsApp,True,65,KL/Selangor
432,Bronze,2024-05-29,App Push,False,24,Penang
433,Silver,2023-03-29,Email,True,50,Others
434,Bronze,2024-02-12,App Push,True,55,Penang
435,Gold,2024-09-19,App Push,True,69,Johor
436,Bronze,2023-01-31,Email,False,46,KL/Selangor
437,Silver,2023-08-29,App Push,True,23,Johor
438,Silver,2023-11-24,Email,True,51,Sabah/Sarawak
439,Silver,2022-06-04,Email,True,38,Johor
440,Silver,2023-10-06,Email,False,69,KL/Selangor
441,Bronze,2024-04-08,App Push,False,24,Penang
442,Bronze,2022-04-01,Email,False,46,KL/Selangor
443,Bronze,2022-02-12,Email,True,53,Penang
444,Silver,2022-06-21,WhatsApp,False,26,KL/Selangor
445,Bronze,2023-04-26,Email,True,29,Johor
446,Gold,2023-12-01,Email,True,60,Penang
447,Bronze,2022-09-08,Email,True,24,Others
448,Bronze,2023-06-19,WhatsApp,True,30,Penang
449,Silver,2022-09-25,Email,True,46,Penang
450,Silver,2023-02-03,Email,False,27,KL/Selangor
451,Gold,2024-03-12,Email,True,53,Johor
452,Gold,2023-02-05,Email,False,53,Johor
453,Silver,2023-05-03,Email,True,66,Others
454,Bronze,2023-03-27,Email,True,62,KL/Selangor
455,Silver,2024-05-24,Email,True,62,Others
456,Bronze,2024-02-21,Email,True,27,KL/Selangor
457,Bronze,2022-07-23,Email,True,36,KL/Selangor
458,Bronze,2022-04-15,WhatsApp,True,58,KL/Selangor
459,Gold,2022-03-21,Email,True,52,Johor
460,Silver,2022-03-19,WhatsApp,True,45,Sabah/Sarawak
461,Bronze,2022-09-16,App Push,True,30,Others
462,Silver,2022-04-19,WhatsApp,False,64,KL/Selangor
463,Gold,2022-07-20,Email,True,46,Penang
464,Bronze,2022-06-30,Email,False,28,KL/Selangor
465,Silver,2023-04-23,Email,False,63,KL/Selangor
466,Silver,2022-11-25,Email,False,61,Others
467,Bronze,2024-04-03,App Push,True,34,KL/Selangor
468,Silver,2024-06-17,Email,True,63,Johor
469,Bronze,2023-01-07,WhatsApp,True,67,Sabah/Sarawak
470,Bronze,2023-04-10,App Push,False,47,Penang
471,Silver,2023-08-07,WhatsApp,True,57,KL/Selangor
472,Bronze,2024-06-23,Email,False,69,Others
473,Bronze,2024-01-27,Email,True,69,KL/Selangor
474,Bronze,2023-02-18,Email,True,29,KL/Selangor
475,Silver,2023-03-06,Email,False,50,Others
476,Silver,2022-06-23,App Push,True,30,Sabah/Sarawak
477,Bronze,2023-04-13,WhatsApp,True,59,Others
478,Bronze,2024-06-18,Email,True,44,KL/Selangor
479,Silver,2023-05-27,Email,True,62,KL/Selangor
480,Silver,2023-08-25,Email,True,39,Others
481,Silver,2022-09-12,Email,True,44,Penang
482,Gold,2022-07-15,Email,True,66,KL/Selangor
483,Silver,2024-06-12,WhatsApp,True,66,Others
484,Silver,2022-12-14,WhatsApp,False,42,Johor
485,Gold,2022-08-24,App Push,True,27,KL/Selangor
486,Gold,2023-06-05,Email,True,56,Others
487,Bronze,2023-08-27,Email,True,25,Johor
488,Bronze,2023-04-22,Email,True,44,Penang
489,Gold,2024-07-06,WhatsApp,False,69,Sabah/Sarawak
490,Silver,2023-06-03,Email,False,50,Others
491,Silver,2022-02-09,App Push,True,35,Others
492,Silver,2023-10-05,Email,True,34,Johor
493,Silver,2022-12-30,WhatsApp,True,59,KL/Selangor
494,Bronze,2022-02-12,Email,True,49,Others
495,Silver,2023-04-19,WhatsApp,True,34,Sabah/Sarawak
496,Bronze,2023-06-14,Email,False,42,KL/Selangor
497,Silver,2022-04-22,Email,True,46,Johor
498,Bronze,2022-08-02,Email,True,41,Penang
499,Silver,2023-03-02,WhatsApp,True,47,Johor
500,Silver,2024-01-23,WhatsApp,True,61,KL/Selangor
501,Bronze,2024-08-14,Email,True,58,Johor
502,Silver,2022-10-22,WhatsApp,True,49,Others
503,Bronze,2022-12-21,App Push,True,33,KL/Selangor
504,Gold,2022-10-13,Email,True,28,Johor
505,Silver,2023-02-28,App Push,False,57,Others
506,Bronze,2022-10-03,App Push,False,29,KL/Selangor
507,Gold,2024-04-21,Email,True,55,Sabah/Sarawak
